file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,Corpus,-45.82172621987357,-45.88648465200992,3.89793929196005,8.160836403447068
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,Corpus,-43.73633680555555,-53.56250997690054,3.8881896422186926,11.443148868500742
F2BJRLP3,0.0,30.7068125,Corpus,-45.988277434060564,-46.87794741915885,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,Corpus,-45.439294284467714,-45.74010034094654,3.609906047959521,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,Corpus,-43.22974992433414,-52.32839114849384,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,Corpus,-44.8062026820232,-50.90279579162598,2.5633459565624697,12.358243745435463
